YEAR	DATE	TIME	Hour	STREET1	STREET2	OFFSET	ROAD_CLASS	District	LATITUDE	LONGITUDE	LOCCOORD	ACCLOC	TRAFFCTL	VISIBILITY	LIGHT	RDSFCOND	ACCLASS	IMPACTYPE	INVTYPE	INVAGE	INJURY	FATAL_NO	INITDIR	VEHTYPE	MANOEUVER	DRIVACT	DRIVCOND	PEDTYPE	PEDACT	PEDCOND	CYCLISTYPE	CYCACT	CYCCOND	PEDESTRIAN	CYCLIST	AUTOMOBILE	MOTORCYCLE	TRUCK	TRSN_CITY_VEH	EMERG_VEH	PASSENGER	SPEEDING	AG_DRIV	REDLIGHT	ALCOHOL	DISABILITY	Division
2012	2012-08-21T04:00:00.000Z	940	9	FINCH AVE W	YONGE ST	 	Major Arterial	North York	43.779545	-79.41639	Mid-Block	At Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	45 to 49	Fatal	25	North	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	32
2012	2012-09-10T04:00:00.000Z	943	9	3133 BAYVIEW AVE	BYNG AVE	 	Major Arterial	North York	43.782045	-79.39149	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	29	West	Other	 	 	 	Pedestrian hit at mid-block	Walking on Roadway Against Traffic	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	"33,32"
2018	2018-02-02T05:00:00.000Z	943	9	FINCH AVE W	ARDWICK BLVD	 	Major Arterial	Etobicoke York	43.747714	-79.562267	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	9	North	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	31
2014	2014-12-07T05:00:00.000Z	944	9	KENNEDY RD	RANSTONE GDNS	 	Major Arterial	Scarborough	43.742171	-79.272052	Intersection	 	Traffic Signal	Clear	Daylight	Dry	Fatal	Approaching	Driver	80 to 84	Fatal	46	South	"Automobile, Station Wagon"	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	 	41
2009	2009-08-27T04:00:00.000Z	947	9	LAWRENCE AVE W	MARLEE AVE	 	Major Arterial	North York	43.715644	-79.446491	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	22	South	Other	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	"32,13"
2016	2016-05-03T04:00:00.000Z	948	9	3 SPRUCE HILL RD	 	 	Local	Toronto and East York	43.672747	-79.288913	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	30	Unknown	 	 	 	 	Pedestrian hit at parking lot	Other	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	55
2017	2017-05-31T04:00:00.000Z	950	9	BAYVIEW AVE	BURLEIGH HEIGHTS DR	 	Major Arterial	North York	43.779303	-79.390872	Intersection	At Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	15 to 19	Fatal	25	West	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	"33,32"
2016	2016-03-14T04:00:00.000Z	952	9	DON MILLS RD	FINCH AVE E	 	Major Arterial	North York	43.792651	-79.354724	Intersection	At Intersection	Traffic Signal	Rain	Daylight	Wet	Fatal	Angle	Passenger	55 to 59	Fatal	17	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	Yes	Yes	 	 	33
2016	2016-02-10T05:00:00.000Z	954	9	WEDGEWOOD DR	TOBRUK CRES	 	Local	North York	43.789603	-79.413997	Intersection	 	Stop Sign	Clear	Daylight	Wet	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	12	West	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	32
2017	2017-03-04T05:00:00.000Z	1001	10	SHEPPARD AVE W	MAGELLAN DR	 	Major Arterial	North York	43.7396	-79.509639	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	5 to 9	Fatal	11	North	 	 	 	 	Vehicle is going straight thru inter.while ped cross with ROW	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	Yes	 	 	31
2011	2011-01-29T05:00:00.000Z	0	0	BLOOR ST W	CONCORD AVE	 	Major Arterial	Toronto and East York	43.661745	-79.42689	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	3	East	Other	 	 	 	Pedestrian involved in a collision with transit vehicle anywhere along roadway	Crossing with right of way	Had Been Drinking	 	 	 	Yes	 	 	 	 		 	 	 	Yes	 	 	 	14
2013	2013-07-28T04:00:00.000Z	1	0	SHEPPARD AVE E	DON MILLS RD	 	Major Arterial	North York	43.774943	-79.347888	Mid-Block	 	No Control	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	26	South	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	33
2015	2015-09-26T04:00:00.000Z	1	0	BURNHAMTHORPE RD	427 C N BURNHAMTHORPE RAMP	 	Expressway	Etobicoke York	43.645896	-79.561664	Intersection	At Intersection	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Turning Movement	Driver	30 to 34	Fatal	47	East	"Automobile, Station Wagon"	Going Ahead	Disobeyed Traffic Control	"Ability Impaired, Alcohol"	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	Yes	Yes	 	22
2008	2008-06-14T04:00:00.000Z	5	0	3440 PHARMACY AVE	 	 	Minor Arterial	Scarborough	43.807745	-79.33239	Mid-Block	 	No Control	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	23	East	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	42
2008	2008-06-14T04:00:00.000Z	5	0	3440 PHARMACY AVE	 	 	Minor Arterial	Scarborough	43.807745	-79.33239	Mid-Block	 	No Control	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	24	East	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	42
2015	2015-07-06T04:00:00.000Z	8	0	KIPLING AVE	JUTLAND RD	 	Major Arterial	Etobicoke York	43.626292	-79.528835	Intersection	Intersection Related	No Control	Clear	"Dark, artificial"	Dry	Fatal	Turning Movement	Motorcycle Driver	25 to 29	Fatal	33	North	Motorcycle	Going Ahead	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	Yes	Yes	Yes	 	 	 	22
2010	2010-02-15T05:00:00.000Z	9	0	LAWRENCE AVE E	PHARMACY AVE	 	Major Arterial	Scarborough	43.743245	-79.30459	Intersection	 	Traffic Signal	Clear	Dark	Dry	Fatal	Turning Movement	Driver	25 to 29	Fatal	10	West	"Automobile, Station Wagon"	Turning Left	Driving Properly	Normal	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	41
2010	2010-02-18T05:00:00.000Z	18	0	PHARMACY AVE	ST BEDES RD	 	Minor Arterial	Scarborough	43.704645	-79.28869	Intersection	At Intersection	No Control	Clear	Dark	Wet	Fatal	SMV Other	Passenger	15 to 19	Fatal	11	 	Other	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	41
2018	2018-04-23T04:00:00.000Z	20	0	FINCH AVE W	SIGNET DR	 	Major Arterial	Etobicoke York	43.753218	-79.53622	Intersection	At Intersection	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Angle	Driver	40 to 44	Fatal	21	West	"Automobile, Station Wagon"	Going Ahead	Disobeyed Traffic Control	Normal	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	Yes	 	 	31
2015	2015-06-11T04:00:00.000Z	24	0	FINCH AVE W	TOBERMORY DR	 	Major Arterial	Etobicoke York	43.759272	-79.507922	Intersection	At Intersection	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Cyclist Collisions	Cyclist	40 to 44	Fatal	28	West	Bicycle	Going Ahead	 	 	 	 	 	Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.	Driving Properly	Unknown	 	Yes	Yes	 	 		 	 	Yes	Yes	 	Yes	 	31
2017	2017-02-18T05:00:00.000Z	29	0	KIPLING AVE	NEW TORONTO ST	112 m North	Major Arterial	Etobicoke York	43.604773	-79.519672	Mid-Block	Underpass or Tunnel	No Control	Clear	"Dark, artificial"	Dry	Fatal	SMV Other	Driver	30 to 34	Fatal	7	South	Pick Up Truck	Going Ahead	Failed to Yield Right of Way	Had Been Drinking	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	22
2008	2008-05-24T04:00:00.000Z	30	0	BAYVIEW Aven	BLOOR Ramp	 	Major Arterial	Toronto and East York	43.677146	-79.367893	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	SMV Other	Motorcycle Driver	25 to 29	Fatal	21	North	Motorcycle	Going Ahead	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	 	Yes	 		 	 	Yes	Yes	 	 	 	53
2010	2010-01-24T05:00:00.000Z	32	0	QUEEN ST E	MUNRO ST	 	Major Arterial	Toronto and East York	43.658545	-79.35139	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	7	North	Other	 	 	 	Pedestrian involved in a collision with transit vehicle anywhere along roadway	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	 	 	 		 	 	 	 	 	 	 	55
2016	2016-06-15T04:00:00.000Z	37	0	LAWRENCE AVE E	VALPARAISO AVE	 	Major Arterial	Scarborough	43.755103	-79.247493	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	37	South	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	43
2008	2008-07-12T04:00:00.000Z	38	0	688 SCARLETT RD	 	 	Major Arterial	Etobicoke York	43.694745	-79.51949	Intersection	 	No Control	Clear	Dark	Dry	Fatal	SMV Other	Driver	25 to 29	Fatal	31	South	"Automobile, Station Wagon"	Overtaking	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	 	 	 	23
2017	2017-01-21T05:00:00.000Z	40	0	BROWNS LINE	LAKESHORE W BROWNS LI RAMP	20 m North	Major Arterial	Etobicoke York	43.592673	-79.542079	Mid-Block	Non Intersection	No Control	"Fog, Mist, Smoke, Dust"	"Dark, artificial"	Wet	Fatal	SMV Other	Driver	20 to 24	Fatal	3	South	Delivery Van	Going Ahead	Lost control	Had Been Drinking	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	 	 	 	22
2017	2017-12-17T05:00:00.000Z	41	0	KINGSTON RD	GUILDWOOD PKWY	 	Major Arterial	Scarborough	43.749583	-79.20592	Intersection	At Intersection	Traffic Signal	Other	Dark	Other	Fatal	SMV Other	Driver	50 to 54	Fatal	58	East	 	Going Ahead	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	 	 	 		 	 	Yes	Yes	 	 	 	43
2015	2015-08-16T04:00:00.000Z	42	0	BELLAMY RD N	LAWRENCE AVE E	 	Major Arterial	Scarborough	43.757712	-79.235263	Intersection	Intersection Related	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Angle	Passenger	25 to 29	Fatal	38	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	Yes	Yes	Yes	 	43
2013	2013-10-20T04:00:00.000Z	45	0	KENNEDY RD	EGLINTON AVE E	 	Major Arterial	Scarborough	43.731745	-79.267787	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	20 to 24	Fatal	48	East	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	Yes	 	41
2018	2018-07-25T04:00:00.000Z	45	0	DORIS AVE	HOLMES AVE	42 m South	Minor Arterial	North York	43.777663	-79.413097	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Wet	Fatal	SMV Other	Driver	20 to 24	Fatal	36	North	"Automobile, Station Wagon"	Going Ahead	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	 	 	 	32
2018	2018-08-09T04:00:00.000Z	50	0	HIGHWAY 2A  W	HIGHLAND CREEK OVERPASS	600 m East	Expressway	Scarborough	43.786017	-79.16299	Mid-Block	Non Intersection	No Control	 	Dark	 	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	40	South	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	43
2008	2008-06-27T04:00:00.000Z	53	0	FLEET ST	STADIUM RD	 	Major Arterial	Toronto and East York	43.636045	-79.40189	Intersection	 	No Control	Clear	Dark	Dry	Fatal	Approaching	Driver	20 to 24	Fatal	28	West	"Automobile, Station Wagon"	Going Ahead	Wrong Way on One Way Road	"Ability Impaired, Alcohol"	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	Yes	 	14
2015	2015-03-20T04:00:00.000Z	58	0	262 TORRENS AVE	 	 	Local	Toronto and East York	43.692526	-79.343501	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	11	North	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	54
2018	2018-07-26T04:00:00.000Z	58	0	EGLINTON AVE W	MARLEE AVE	 	Major Arterial	Toronto and East York	43.69797	-79.439349	Intersection	At Intersection	Traffic Signal	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	55 to 59	Fatal	37	South	 	 	 	 	Vehicle is going straight thru inter.while ped cross with ROW	Crossing with right of way	Unknown	 	 	 	Yes	 	 	 	Yes		 	 	 	Yes	 	 	 	13
2015	2015-05-07T04:00:00.000Z	100	1	ROSEDALE VALLEY RD	BAYVIEW AVE	 	Minor Arterial	Toronto and East York	43.671626	-79.36584	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	SMV Other	Motorcycle Driver	25 to 29	Fatal	20	West	Motorcycle	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	 	Yes	 		 	Yes	Yes	Yes	 	 	 	51
2011	2011-12-01T05:00:00.000Z	102	1	JANE ST	ELLIS AVE	 	Major Arterial	Etobicoke York	43.702145	-79.50359	Intersection	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	50 to 54	Fatal	32	Unknown	Other	 	 	 	Other / Undefined	Other	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	12
2012	2012-09-14T04:00:00.000Z	102	1	F G GARDINER XY  E	SOUTH KINGSWAY	 	Expressway	Toronto and East York	43.634787	-79.470248	Mid-Block	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	SMV Other	Motorcycle Driver	30 to 34	Fatal	31	East	Motorcycle	Going Ahead	Lost control	Had Been Drinking	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	 	 	 	 	 	11
2015	2015-02-18T05:00:00.000Z	104	1	SHERBOURNE ST	DUNDAS ST E	50 m South of	Minor Arterial	Toronto and East York	43.65774	-79.370799	Mid-Block	Intersection Related	No Control	Clear	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	55 to 59	Fatal	7	Unknown	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Other	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	51
2010	2010-07-18T04:00:00.000Z	110	1	GREENCEDAR CRCT	DAPHNE RD	 	Collector	Scarborough	43.756845	-79.22939	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	SMV Other	Passenger	15 to 19	Fatal	26	 	Other	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	43
2017	2017-01-29T05:00:00.000Z	110	1	F G GARDINER XY  E	SPADINA AVE	350 m West	Expressway	Toronto and East York	43.637957	-79.395633	Mid-Block	Non Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	15 to 19	Fatal	4	West	 	 	 	 	Pedestrian hit at mid-block	Walking on Roadway Against Traffic	Other	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	14
2018	2018-10-08T04:00:00.000Z	117	1	SHEPPARD AVE E	BONNINGTON PL	 	Major Arterial	North York	43.762419	-79.406253	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	53	East	 	 	 	 	Pedestrian hit at mid-block	Playing or Working on Highway	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2010	2010-06-03T04:00:00.000Z	120	1	DUFFERIN ST	ST CLAIR AVE W	 	Major Arterial	Toronto and East York	43.677945	-79.44309	Intersection	At Intersection	Traffic Signal	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	50 to 54	Fatal	20	West	Other	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	13
2009	2009-12-15T05:00:00.000Z	122	1	WILSON AVE	DUFFERIN ST	 	Major Arterial	North York	43.732245	-79.45799	Mid-Block	At Intersection	No Control	Clear	Dark	Wet	Fatal	SMV Unattended Vehicle	Driver	25 to 29	Fatal	45	West	"Automobile, Station Wagon"	Going Ahead	Lost control	Had Been Drinking	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	 	32
2018	2018-06-29T04:00:00.000Z	123	1	STEELES AVE W	KIPLING AVE	 	Major Arterial	Etobicoke York	43.759535	-79.589862	Intersection	At Intersection	Traffic Signal	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	15 to 19	Fatal	35	Unknown	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	23
2009	2009-02-13T05:00:00.000Z	125	1	423 BRIMORTON DR	 	 	Collector	Scarborough	43.768945	-79.23769	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	SMV Other	Passenger	20 to 24	Fatal	4	 	Other	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	Yes	 	43
2014	2014-08-18T04:00:00.000Z	125	1	QUEEN ST E	TRACY ST	 	Major Arterial	Toronto and East York	43.656085	-79.362254	Intersection	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	21	Unknown	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	51
2018	2018-01-01T05:00:00.000Z	125	1	BAYVIEW AVE	POTTERY RD	403 m N of	Major Arterial	Toronto and East York	43.692008	-79.361987	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	SMV Other	Driver	35 to 39	Fatal	1	South	"Automobile, Station Wagon"	Going Ahead	Speed too Fast For Condition	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	 	 	 	53
2014	2014-02-12T05:00:00.000Z	127	1	DANFORTH RD	HIBBERTS DR	 	Minor Arterial	Scarborough	43.708708	-79.267062	Intersection	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	50 to 54	Fatal	3	Unknown	 	 	 	 	Other / Undefined	Other	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	41
2013	2013-09-16T04:00:00.000Z	130	1	STEELES AVE W	BATHURST ST	 	Major Arterial	North York	43.792533	-79.445163	Mid-Block	 	No Control	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	20 to 24	Fatal	40	North	 	 	 	 	Pedestrian hit at mid-block	Running onto Roadway	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2013	2013-05-12T04:00:00.000Z	139	1	QUEEN ST E	EASTERN AVE	 	Major Arterial	Toronto and East York	43.667243	-79.312587	Intersection	At Intersection	Traffic Signal	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	14	Unknown	 	 	 	 	Pedestrian involved in a collision with transit vehicle anywhere along roadway	Other	Unknown	 	 	 	Yes	 	 	 	 		 	 	 	 	 	 	 	55
2017	2017-04-13T04:00:00.000Z	144	1	CUMMER AVE	SNOWCREST AVE	150 m East	Collector	North York	43.795336	-79.380786	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	SMV Other	Driver	25 to 29	Fatal	17	East	"Automobile, Station Wagon"	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	33
2014	2014-09-01T04:00:00.000Z	147	1	EGLINTON AVE E	MARKHAM RD	76 m West of	Major Arterial	Scarborough	43.742972	-79.219852	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Passenger	30 to 34	Fatal	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 	Yes	 	 	 	 	 	43
2013	2013-09-07T04:00:00.000Z	205	2	ROSEDALE VALLEY RD	BAYVIEW AVE	 	Major Arterial	Toronto and East York	43.670146	-79.360187	Intersection	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	SMV Other	Motorcycle Driver	35 to 39	Fatal	39	East	Motorcycle	Going Ahead	Speed too Fast For Condition	Unknown	 	 	 	 	 	 	 	 	 	Yes	 		 	 	Yes	Yes	 	 	 	51
2010	2010-12-14T05:00:00.000Z	216	2	KINGSTON RD	ST QUENTIN AVE	 	Major Arterial	Scarborough	43.719145	-79.23929	Mid-Block	 	No Control	Snow	Dark	Packed Snow	Fatal	SMV Other	Driver	20 to 24	Fatal	39	West	"Automobile, Station Wagon"	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	43
2017	2017-02-02T05:00:00.000Z	219	2	BRIMLEY RD	ELGAR AVE	 	Major Arterial	Scarborough	43.741065	-79.250186	Intersection	At Intersection	Stop Sign	Clear	Dark	Wet	Fatal	Turning Movement	Driver	25 to 29	Fatal	5	South	"Automobile, Station Wagon"	Going Ahead	Driving Properly	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	 	 	 	"41,43"
2016	2016-09-05T04:00:00.000Z	220	2	MOUNT PLEASANT RD	ROXBOROUGH DR	 	Major Arterial	Toronto and East York	43.680724	-79.382404	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	SMV Other	Passenger	25 to 29	Fatal	55	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	Yes	 	53
2018	2018-03-15T04:00:00.000Z	226	2	COLLEGE ST	HURON ST	 	Major Arterial	Toronto and East York	43.658187	-79.398158	Intersection	At Intersection	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	20 to 24	Fatal	15	West	 	 	 	 	Vehicle is going straight thru inter.while ped cross with ROW	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	Yes	 	52
2016	2016-10-30T04:00:00.000Z	227	2	PHARMACY AVE	EGLINTON AVE E	 	Major Arterial	Scarborough	43.725642	-79.297504	Intersection	Intersection Related	No Control	Clear	Dark	Dry	Fatal	SMV Other	Driver	30 to 34	Fatal	67	North	"Automobile, Station Wagon"	Going Ahead	Lost control	Had Been Drinking	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	 	 	 	41
2009	2009-04-04T04:00:00.000Z	228	2	LIPPINCOTT ST	BLOOR ST W	 	Major Arterial	Toronto and East York	43.665345	-79.40999	Intersection	 	No Control	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	10	West	Other	 	 	 	Pedestrian hit at mid-block	Other	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	Yes	 	14
2012	2012-04-03T04:00:00.000Z	230	2	MOUNT PLEASANT RD	STIBBARD AVE	 	Major Arterial	North York	43.716945	-79.39359	Intersection	 	No Control	Clear	Dark	Dry	Fatal	SMV Other	Passenger	20 to 24	Fatal	7	 	Other	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	Yes	 	53
2016	2016-01-31T05:00:00.000Z	230	2	DERRYDOWN RD	ROMFIELD DR	 	Local	Etobicoke York	43.760321	-79.493961	Intersection	 	Stop Sign	Clear	"Dark, artificial"	Wet	Fatal	SMV Other	Passenger	45 to 49	Fatal	8	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	Yes	 	31
2012	2012-02-06T05:00:00.000Z	233	2	F G GARDINER XY  E	DUFFERIN ST	 	Expressway	Toronto and East York	43.632643	-79.429286	Mid-Block	 	No Control	Clear	"Dark, artificial"	Other	Fatal	Pedestrian Collisions	Pedestrian	15 to 19	Fatal	5	Unknown	Other	 	 	 	Pedestrian hit at mid-block	Person Getting on/off Vehicle	Had Been Drinking	 	 	 	Yes	 	Yes	 	Yes		 	 	 	 	 	 	 	14
2014	2014-05-10T04:00:00.000Z	233	2	DUNDAS ST W	AUGUSTA AVE	 	Major Arterial	Toronto and East York	43.652262	-79.401134	Intersection	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	9	Unknown	 	 	 	 	Other / Undefined	Other	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	14
2018	2018-09-15T04:00:00.000Z	240	2	PARKSIDE DR	INDIAN VALLEY CRES	34 meters south	Major Arterial	Toronto and East York	43.650427	-79.45827	Mid-Block	Non Intersection	No Control	Clear	Dark	Dry	Fatal	Approaching	Motorcycle Driver	45 to 49	Fatal	46	North	Motorcycle	Going Ahead	Driving Properly	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	Yes	 	 	 	 	 	11
